r_arcsec,x_over_rc,kappa_glafic_raw,kappa_glafic_denoised,kappa_shape_dimless,kappa_glafic_norm,kappa_shape_norm
9.023374256238992502e-03,9.023374256238992502e-03,1.314354968863696465e-04,1.314354968863696465e-04,8.095110961400705518e-01,9.999106997288053078e-01,9.999106997296982602e-01
9.421101778001610486e-03,9.421101778001610486e-03,1.314344262400234087e-04,1.314344262400234087e-04,8.095045020303422989e-01,9.999025546632591688e-01,9.999025546642335005e-01
9.836360123276080905e-03,9.836360123276080905e-03,1.314332591492200684e-04,1.314332591492200684e-04,8.094973139193034628e-01,9.998936758853835816e-01,9.998936758864467311e-01
1.026992200643639559e-02,1.026992200643639559e-02,1.314319869279916377e-04,1.314319869279916377e-04,8.094894783100866631e-01,9.998839973156755656e-01,9.998839973168358597e-01
1.072259420115237276e-02,1.072259420115237276e-02,1.314306001084354452e-04,1.314306001084354452e-04,8.094809368898886470e-01,9.998734469259734636e-01,9.998734469272394509e-01
1.119521904163729015e-02,1.119521904163729015e-02,1.314290883703865477e-04,1.314290883703865477e-04,8.094716260968241039e-01,9.998619462044325834e-01,9.998619462058131457e-01
1.168867599006669089e-02,1.168867599006669089e-02,1.314274404647763201e-04,1.314274404647763201e-04,8.094614766478915868e-01,9.998494095724660413e-01,9.998494095739716148e-01
1.220388327308513654e-02,1.220388327308513654e-02,1.314256441301137860e-04,1.314256441301137860e-04,8.094504130245816498e-01,9.998357437493671229e-01,9.998357437510099199e-01
1.274179959044595238e-02,1.274179959044595238e-02,1.314236860014744083e-04,1.314236860014744083e-04,8.094383529123364562e-01,9.998208470599313502e-01,9.998208470617224730e-01
1.330342589896353102e-02,1.330342589896353102e-02,1.314215515113274118e-04,1.314215515113274118e-04,8.094252065897508119e-01,9.998046086799882159e-01,9.998046086819422085e-01
1.388980727509774547e-02,1.388980727509774547e-02,1.314192247814747886e-04,1.314192247814747886e-04,8.094108762630187748e-01,9.997869078143155619e-01,9.997869078164465240e-01
1.450203485963636081e-02,1.450203485963636081e-02,1.314166885053078644e-04,1.314166885053078644e-04,8.093952553407558481e-01,9.997676128008917695e-01,9.997676128032159104e-01
1.514124788809412432e-02,1.514124788809412432e-02,1.314139238195209734e-04,1.314139238195209734e-04,8.093782276438815648e-01,9.997465801349439962e-01,9.997465801374778582e-01
1.580863581060674289e-02,1.580863581060674289e-02,1.314109101643438666e-04,1.314109101643438666e-04,8.093596665447935212e-01,9.997236534056488377e-01,9.997236534084121828e-01
1.650544050526440987e-02,1.650544050526440987e-02,1.314076251312733495e-04,1.314076251312733495e-04,8.093394340295432254e-01,9.996986621377342841e-01,9.996986621407474294e-01
1.723295858900345673e-02,1.723295858900345673e-02,1.314040442971939283e-04,1.314040442971939283e-04,8.093173796761878869e-01,9.996714205295326172e-01,9.996714205328179892e-01
1.799254383035629387e-02,1.799254383035629387e-02,1.314001410436833742e-04,1.314001410436833742e-04,8.092933395418929754e-01,9.996417260783271308e-01,9.996417260819092654e-01
